category,likesNum,name,nameOnSite,descriptions
beaches,0,Wings Shores,Bondi Beach,"Bondi Beach is a wonderful place for all things ocean-related. Come surf the wildest waves, ride personal watercraft through tsunamis, dance with beautiful people, tone up at the fully equipped gym or whatever else you might fancy. So grab some sunscreen and head to Bondi Beach!"
beaches,0,London Adult,London City Seaside,"Experience a day out at a quintessentially British seaside resort.  Enjoy amusements and rides, candy floss, cockles and mussels, fish and chips, Kiss-me-quick hats, a traditional pub, even live shows. Ready for a day at the beach?"
beaches,0,Coastal Breeze,Shag Surf and Beach Club,"Deep in the pacific ocean lies the beach isle of Shag. Discovered by a group of wandering philanthropists seeking a place to call their own, a drunken surfing community was born. Come join this specail place within the bosom of warm turquoise waters."
beaches,0,Maribella,The Beach Club,"The Beach Club is your beach party destination! Come for Second Life's hottest hosts and DJ's, smokin' hot tunes, a tastefully landscaped beach, awesome times and friendly people. Everyone's welcome to come party at the Beach Club."
beaches,0,THESSALONIKI,Jamaica,"Jamaica is an intimate retreat in a tropical setting. It's a place to come enjoy the company of others in a peaceful romantic environment. Enjoy the warm beach or lay in the lush grassy forest, listen to jazz at the piano bar, dance, play, have fun and cuddle. Discover the freedom to love and be intimate without bounds."
beaches,0,Tamriel,Montego Bay,"Montego Bay is a warm, friendly beach. Come hang out, fish and check out some great stores. They have live DJs every day, freebies, even DJ and host training!"
beaches,0,WideWorld Progress,Dunes Beach Resort," Dunes Beach Resort is an always-changing, always interesting fun place to meet and get to know each other, a place where your treated like family and friends. They are open to everyone, so come party with them and have a blast!"
adult/clubs,0,Nude Beach,Naturist Beach,Enjoy summer every day! Visit Naturist Beach for naughty naturist fun.
beaches,0,Isle of 3Moons,Isle of Moon,"Bored? Come to Isle of Moon, where you can have fun, relax or just chill with friends at a bar on the beach. What are you waiting for?"
beaches,0,Veil ofthe Moon,Aloha Beach,"Aloha! Aloha Beach has spacious sandy beaches, big waves and the best surfing features. Come to this welcoming place for good sun, great water, dancing, live music and more. 広々とした砂浜、波乗りにもっとも適した大きな波が特徴のビーチです。サーフィンするもよし、日光浴をするもよし、散策はいつでもどなたでも歓迎します！ダンス、ミュージックライブ、DJクラブイベントなども楽しめます。"
beaches,0,Victory Land,Muckers,"Muckers is a place for friends old and new to hang, chat, dance and enjoy a nice bit of music. Go for a slide, take a swim, ride the rubber rings, shoot some clay pigeons, wrestle in the mud pit...or just chill out and relax."
beaches,0,Mediterraneo OC,Mediterraneo OC,"Scroll through a sculpture park, shop for Italian fashions or take a tour via balloon or tandem bike in this romantic Mediterranean retreat. "
beaches,0,Las Lagunas,Las Islas Republic,Las Islas Republic is a relaxing tropical spot in the ancient Caribbean.
beaches,0,Bahia,Bahia Tiki Beach,"Wade through tropical Caribbean blue waters and walk on white sand at Bahia Tiki Beach — a perfect spot to relax and hang out with friends. Grab a drink at any of the beach bars, relax on a hammock under the shade of palm trees, surf the waves at the surf shack or explore the ruins."
beaches,0,PAINEfully enTWINEd,Sunset Beach,"Escape to this secluded beach, located on a private, adult region and available to all. Sunset Beach is perfect for a romantic interlude or secret tryst."
beaches,0,Jorah,Solelua Beach,"Solelua has a sparkling sun, a playful surf and sand that won't stick to your skin (much). Come enjoy the music, dancing, great conversation and lots of laughter!"
