category,likesNum,name,nameOnSite,descriptions
underwater,0,Merry,Bibi's Underwater World,"Experience the beauty and complexity of tropical reefs. Float around to relaxing music or dance with your friends at the bar. See Captain Nemo's ghost in his submarine, or learn about how overfishing, climate change, and littering may be destroying the Earth's oceans."
zombies,0,Rossavik,Doggone Zombie Combat,"Doggone Zombie Combat Sim is a zombie-infested area filled with hidden quests and hunts. In addition to the walking dead, you'll find the zombie-free Rigamortis Nightclub (featuring DJ Lilith live each Sunday at 12 p.m. Pacific)."
wilderness,0,Tapir,Tapir,Jump into the adventure! Visit the Wilderness and set sail for excitement in this untamed experience.
winter,0,Alcona,Mikey's Christmas Tree Farm,"Mikey's offers over 100 different Christmas trees, as well as other winter celebration decorations."
surfing,0,Bisous Island,Biscous Bay,Enjoy a cold beverage and a relaxing day by the sea at this surf spot.
strange,0,Verdigris,Verdigris,"Discover the strange and precarious architecture of this vintage village, which sits atop a bridge and houses many shops for the curious buyer."
science,0,Second Earth 3,Abyss Observatory,"A museum of ocean science and technology which celebrates the sense of wonder people often have about the mysteries of the deep sea. Visitors can even travel 2,000 meters down into the dark depths of the ocean floor."
sports,0,Cross Check,Global Online Hockey,"GOHA was established in 2006 and continues a tradition of professional, realistic scripted-team sports within Second Life. "
origins,0,Pooley,Pooley Stage,Some of the earliest meetings between Second Life residents and the Linden Lab development teams were held at Pooley Stage.
sailing,0,Norstrilia,Oceanside at Norstrilia,"Imagine a quaint coastal town with lots to do!  Norstrilia features beaches, shops, gardens, bike riding and sailing. "
belief,0,Larsson,St. George Orthodox Christian Church,"Visit a jewel-like church in a beautiful natural setting where you can explore Alpine meadows, wild rivers and deep pine forests. "
ridesmazes,0,Sialimonus,TRP360 Fun House,"Inside this Persian blue triangle is a puzzle of cosmic proportions. Modeled after the traditional carnival fun house of old, each of TRP360's twisted levels will leave you questioning which way is up, which way is down, and how much of this is really all in your mind."
adult/adult_arts,0,RainGap Dynasty,RainGap Sims,"Visit the RainGap sims, which offer clothing-optional play areas, rustic homes, forests, shopping and more. On the edge of the sim, you'll find a small art gallery and the Designs of Mysteri jewelry shop. "
